file_path,file_name,speaker_name,conversation_format,framework_reference_resolution,framework_completeness_score,framework_question_relevance,framework_question_count,baseline_reference_resolution,baseline_completeness_score,baseline_question_relevance,baseline_question_count,efficiency_ratio,relevance_difference,framework_questions,baseline_questions,sample_conversation
./dataset/Sarah_Thomas_conv/1_2_event_002.txt,1_2_event_002.txt,Sarah,Conference Room B,0.066666667,1,1,3,0,1,1,5,0.6,0,"['Can you share the detailed breakdown of the final budget changes, especially how much was reallocated from marketing to cover the extra QA sessions?', 'Has Marcus, the treasurer, officially approved the budget adjustments, and are there any conditions we need to be aware of?', 'How will the reduced marketing budget impact the Seamless Connect project’s launch and team priorities, and do we need to adjust our development plans accordingly?']","['Can we get a detailed breakdown of the final budget changes, especially the amounts shifted from marketing to QA?', 'Has Marcus (the treasurer) officially approved the new budget allocation, and are there any conditions attached?', 'Are there any other departments affected by the budget changes besides marketing?']","Hey Thomas, do you have a minute before the meeting? I just got an email about the final budget, and I’m a bit nervous about how it all worked out..."
./dataset/Sarah_Thomas_conv/1_2_event_001.txt,1_2_event_001.txt,Sarah,Conference Room B,0,1,1,3,0.25,1,1,5,0.6,0,"['Have we confirmed exactly how and where client comments should be documented after launch—are we all using the shared sheet, or is there another process?', 'Who is responsible for handling the frontend checks during launch—should I coordinate with you or the other team?', 'Is there a clear protocol for escalating urgent issues that arise this afternoon, especially while I’m on my call at three?']","['Can you confirm if we should document all client comments on the shared sheet, or is there another preferred method?', 'Who will be responsible for reviewing and triaging client feedback as it comes in through the new system?', 'Is there a process in place for prioritizing or escalating urgent client issues after launch?']","Um, morning Thomas. Uh, did you get a chance to look at the rollout timeline for Project Nova yet? I, um, I think the way the design handed things off..."
./dataset/Sarah_Thomas_conv/1_2_event_004.txt,1_2_event_004.txt,Sarah,Conference Room B,0.066666667,1,1,3,0.25,1,1,5,0.6,0,"['Can you explain how to customize reports in the new analytics dashboard, or is there a guide available?', 'Which features are most important for tracking Seamless Connect metrics, and are there recommended best practices?', 'How will notifications be managed to avoid excessive pop-ups, and can we adjust notification settings individually?']","['Can you clarify which features of the new analytics dashboard are most relevant for the Seamless Connect project?', 'Are there any guides or documentation available for the dashboard’s advanced features?', 'How do we access the project-specific filters, and are there any limitations?']","Hey Thomas, did you catch Priya's presentation earlier? Uh, the new analytics dashboard launch? It, um, seems like a big deal for our projects. Just quickly, after the meeting. I,..."
./dataset/Sarah_Thomas_conv/1_2_event_005.txt,1_2_event_005.txt,Sarah,Conference Room B,0,1,1,3,0,1,1,5,0.6,0,"['Is the dev dashboard definitely reading the correct icon asset for the Android build, or do we need to verify the file path/source again?', 'Are we actively tracking user responses and feedback after the icon rollout, and if so, where can we access that data?', 'Have the rollback instructions been fully tested and are they easily accessible in case we need to revert the changes quickly?']","['Can you confirm which asset the dev dashboard is currently reading for the Android build? Is it the updated icon?', 'Has anyone double-checked that the correct icon will be displayed after the switch?', 'Is the updated FAQ live and accessible to users now?']","Uh, morning Thomas. Did you see the memo about the icon rollout, uh, just now? I was looking through the checklist. Wanted to double-check if the dev dashboard’s reading the..."
./dataset/Sarah_Thomas_conv/1_2_event_007.txt,1_2_event_007.txt,Sarah,Conference Room B,0.095238095,1,1,3,0.25,1,1,5,0.6,0,"['Are there any specific areas of the expense tracking or dashboard that you think still need extra testing or review before launch?', 'What is the best way to report or communicate any errors or bugs I encounter in the dashboard after launch?', 'Do the new team members have access to all the necessary documentation and onboarding resources for our codebase, and is there anything we should prepare to help them get up to speed?']","['**Are there any remaining known issues or bugs with the expense tracking or real-time reporting features that need to be addressed before launch?**', '**Can you provide a summary of the batch jobs and scheduled triggers—are there any dependencies or timing concerns we should be aware of?**', '**What is the process for reporting and resolving dashboard errors post-launch? Who should be notified, and what’s the expected turnaround?**']","Um, morning Thomas. Pretty, uh, big launch today for Onyx, huh? Honestly, a bit... nervous, I guess? It's kind of surreal to see it all coming together. I've mostly been..."
./dataset/hospital/1_2_event_prompt_hospital_016.txt,1_2_event_prompt_hospital_016.txt,Mathew,Office Floor 3,0.10810810810810811,1,1,3,0.25,1,1,5,0.6,0,"['Can you confirm if you have any known allergies besides shrimp, or any recent exposures to new medications or foods?', 'Have you experienced any other symptoms such as vomiting, diarrhea, blood in stool, or urinary changes?', 'Do you have your complete insurance information, or is there someone who can provide it if needed?']","['Has the patient’s full medical history and medication list been reviewed and documented?', 'Are there any known allergies (besides shrimp) or recent changes in medication?', 'What tests are scheduled for the patient, and do any require fasting or special preparation?']","Uh, hi... um, is this where I’m supposed to wait for Dr. Robin? Uh, sorry, the nurse said I should—oh, okay, thanks. Uh, so I just, I just sit here,..."
./dataset/hospital/1_2_event_prompt_hospital_002.txt,1_2_event_prompt_hospital_002.txt,Mathew,Hospital Ward,0.13333333333333333,1,1,3,0,1,1,5,0.6,0,"['Can you describe exactly when the pain started and if anything specific triggered it?', 'Have you experienced any changes in your bowel movements, urine, or noticed blood in either?', 'Are you currently taking any other medications besides vitamin D and blood pressure pills, including over-the-counter or herbal supplements?']","['Can you describe exactly where the pain is located? (Point to the spot if possible.)', 'When did the pain start, and has it changed in intensity or character since then?', 'Have you ever had similar pain before?']","Uh, hi Dr. Robin. Sorry, uh, I’m just a bit uncomfortable here, actually. Is it okay if we talk for a minute? My pain is acting up now, it’s uh,..."
./dataset/hospital/1_2_event_prompt_hospital_014.txt,1_2_event_prompt_hospital_014.txt,Mathew,Office Floor 3,0.21052631578947367,1,1,3,0.25,1,1,5,0.6,0,"['Can you describe the exact location and nature of your abdominal pain (e.g., is it sharp, dull, constant, or intermittent)?', 'Have you experienced any other symptoms such as chills, sweating, weight loss, or changes in appetite?', 'Do you have any relevant medical history, recent travel, or contact with anyone who is ill that might help us understand your current condition?']","['Can you describe the pain in more detail? (e.g., is it stabbing, cramping, burning?)', 'Does anything make the pain better or worse? (e.g., movement, eating, lying down)', 'Have you had similar pain before?']","Um, hi, uh, Dr. Robin? Is… Is this where I should be sitting, for the check-in? I got this, uh, medical bracelet when I came in. Sorry, I’m a little—uh,..."
./dataset/hospital/1_2_event_prompt_hospital_015.txt,1_2_event_prompt_hospital_015.txt,Mathew,Office Floor 3,0.15789473684210525,1,1,3,0,1,1,5,0.6,0,"['Can you describe the exact location and nature of your abdominal pain (e.g., is it constant, does anything make it better or worse)?', 'Have you experienced any fever, chills, or other symptoms like diarrhea, blood in stool, or urinary changes since the pain started?', 'Do you have any known medical conditions, allergies, or recent changes in your medications or lifestyle that might be relevant?']","['Can you describe the pain in more detail? (e.g., is it constant or does it come and go? Does anything make it better or worse?)', 'Have you experienced similar pain before?', 'Have you noticed any changes in your bowel movements besides constipation? (e.g., diarrhea, blood, mucus)']","Uh, hi Dr. Robin. Um, thanks for seeing me… uh, today. So, I’ve… I’m feeling this pain, sort of, uh, in my lower left abdomen, and it started… well, I..."
./dataset/hospital/1_2_event_prompt_hospital_011.txt,1_2_event_prompt_hospital_011.txt,Mathew,Office Floor 3,0.30303030303030304,1,1,3,0,1,1,5,0.6,0,"['Can you describe the exact nature and severity of your chest pain—does it come and go, or is it constant, and does anything make it better or worse?', 'Have you ever experienced similar symptoms before, and if so, what was the diagnosis or outcome?', 'Are you currently taking any medications for your hypertension or other health conditions, and do you have a record of your recent blood pressure readings?']","['Has Mathew’s vital signs (blood pressure, heart rate, oxygen saturation) been checked and recorded since arrival?', 'Is there a physician or nurse available to perform a physical examination and assess his chest pain and shortness of breath?', 'Has an ECG (electrocardiogram) or any cardiac workup been ordered or performed?']","Uh, hi. Um... I’m Mathew. I, uh—I’ve just been waiting here for a bit. Not really sure... is this the part where I tell you what’s wrong with me? Sorry,..."
