dataset,scenario,baseline_tp,baseline_fp,baseline_tn,baseline_fn,baseline_tpr,baseline_fnr,baseline_precision,baseline_f1,framework_tp,framework_fp,framework_tn,framework_fn,framework_tpr,framework_fnr,framework_precision,framework_f1
doctor_visit_001.json,doctor_visit,4,0,3,6,0.4,0.6,1.0,0.5714285714285715,1,0,3,9,0.1,0.9,1.0,0.18181818181818182
doctor_visit_001.json,doctor_visit,11,1,2,-1,1.1,-0.1,0.9166666666666666,1.0,9,0,3,1,0.9,0.1,1.0,0.9473684210526316
doctor_visit_002.json,doctor_visit,5,0,3,3,0.625,0.375,1.0,0.7692307692307693,3,0,3,5,0.375,0.625,1.0,0.5454545454545454
doctor_visit_002.json,doctor_visit,8,0,3,0,1.0,0.0,1.0,1.0,3,0,3,5,0.375,0.625,1.0,0.5454545454545454
doctor_visit_003.json,doctor_visit,5,0,3,8,0.38461538461538464,0.6153846153846154,1.0,0.5555555555555556,3,0,3,10,0.23076923076923078,0.7692307692307693,1.0,0.375
doctor_visit_003.json,doctor_visit,12,0,3,1,0.9230769230769231,0.07692307692307693,1.0,0.9600000000000001,5,0,3,8,0.38461538461538464,0.6153846153846154,1.0,0.5555555555555556
friends_meeting_001.json,friends_meeting,9,1,3,7,0.5625,0.4375,0.9,0.6923076923076923,7,0,4,9,0.4375,0.5625,1.0,0.6086956521739131
friends_meeting_001.json,friends_meeting,8,1,3,8,0.5,0.5,0.8888888888888888,0.64,6,0,4,10,0.375,0.625,1.0,0.5454545454545454
friends_meeting_002.json,friends_meeting,3,0,3,8,0.2727272727272727,0.7272727272727273,1.0,0.42857142857142855,3,0,3,8,0.2727272727272727,0.7272727272727273,1.0,0.42857142857142855
friends_meeting_002.json,friends_meeting,11,0,3,0,1.0,0.0,1.0,1.0,4,1,2,7,0.36363636363636365,0.6363636363636364,0.8,0.5000000000000001
friends_meeting_003.json,friends_meeting,6,0,3,8,0.42857142857142855,0.5714285714285714,1.0,0.6,4,0,3,10,0.2857142857142857,0.7142857142857143,1.0,0.4444444444444445
friends_meeting_003.json,friends_meeting,6,0,3,8,0.42857142857142855,0.5714285714285714,1.0,0.6,5,0,3,9,0.35714285714285715,0.6428571428571429,1.0,0.5263157894736842
work_collaboration_001.json,work_collaboration,8,0,3,5,0.6153846153846154,0.38461538461538464,1.0,0.761904761904762,3,0,3,10,0.23076923076923078,0.7692307692307693,1.0,0.375
work_collaboration_001.json,work_collaboration,6,0,3,7,0.46153846153846156,0.5384615384615384,1.0,0.631578947368421,4,0,3,9,0.3076923076923077,0.6923076923076923,1.0,0.47058823529411764
work_collaboration_002.json,work_collaboration,5,0,3,3,0.625,0.375,1.0,0.7692307692307693,4,0,3,4,0.5,0.5,1.0,0.6666666666666666
work_collaboration_002.json,work_collaboration,8,2,1,0,1.0,0.0,0.8,0.888888888888889,5,0,3,3,0.625,0.375,1.0,0.7692307692307693
work_collaboration_003.json,work_collaboration,5,0,3,5,0.5,0.5,1.0,0.6666666666666666,3,0,3,7,0.3,0.7,1.0,0.4615384615384615
work_collaboration_003.json,work_collaboration,3,0,3,7,0.3,0.7,1.0,0.4615384615384615,2,0,3,8,0.2,0.8,1.0,0.33333333333333337
